Country,PT_Authority,Feed_Location,Time_Zone,PT_Mode,GTFS_Type,Feed_URL,API_Key_Required
Australia,Adelaide Metro,Adelaide,Australia/Adelaide,All,Static,https://gtfs.adelaidemetro.com.au/v1/static/latest/google_transit.zip,No
Australia,Adelaide Metro,Adelaide,Australia/Adelaide,All,Static_VersionInfo,https://gtfs.adelaidemetro.com.au/v1/static/latest/version.txt,No
Australia,Adelaide Metro,Adelaide,Australia/Adelaide,All,RT_TU,https://gtfs.adelaidemetro.com.au/v1/realtime/trip_updates,No
Australia,Adelaide Metro,Adelaide,Australia/Adelaide,All,RT_VP,https://gtfs.adelaidemetro.com.au/v1/realtime/vehicle_positions,No
Australia,Adelaide Metro,Adelaide,Australia/Adelaide,All,RT_SA,https://gtfs.adelaidemetro.com.au/v1/realtime/service_alerts,No
Australia,Adelaide Metro,Adelaide,Australia/Adelaide,All,RT_proto,https://gtfs.adelaidemetro.com.au/v1/realtime/adelaidemetro_gtfsr.proto,No
Australia,TransLink,South East QLD,Australia/Brisbane,All,Static,https://gtfsrt.api.translink.com.au/GTFS/SEQ_GTFS.zip,No
Australia,TransLink,South East QLD,Australia/Brisbane,All,RT_TU,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/TripUpdates,No
Australia,TransLink,South East QLD,Australia/Brisbane,All,RT_VP,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/VehiclePositions,No
Australia,TransLink,South East QLD,Australia/Brisbane,All,RT_SA,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts,No
Australia,TransLink,Cairns,Australia/Queensland,All,Static,https://gtfsrt.api.translink.com.au/GTFS/CNS_GTFS.zip,No
Australia,TransLink,Cairns,Australia/Queensland,All,RT_TU,https://gtfsrt.api.translink.com.au/api/realtime/CNS/TripUpdates,No
Australia,TransLink,Cairns,Australia/Queensland,All,RT_VP,https://gtfsrt.api.translink.com.au/api/realtime/CNS/VehiclePositions,No
Australia,TransLink,Cairns,Australia/Queensland,All,RT_SA,https://gtfsrt.api.translink.com.au/api/realtime/CNS/Alerts,No
Australia,TransLink,North Stradbroke Island,Australia/Queensland,All,Static,https://gtfsrt.api.translink.com.au/GTFS/NSI_GTFS.zip,No
Australia,TransLink,North Stradbroke Island,Australia/Queensland,All,RT_TU,https://gtfsrt.api.translink.com.au/api/realtime/NSI/TripUpdates,No
Australia,TransLink,North Stradbroke Island,Australia/Queensland,All,RT_VP,https://gtfsrt.api.translink.com.au/api/realtime/NSI/VehiclePositions,No
Australia,TransLink,North Stradbroke Island,Australia/Queensland,All,RT_SA,https://gtfsrt.api.translink.com.au/api/realtime/NSI/Alerts,No
Australia,TransLink,Maryborough Hervey Bay,Australia/Queensland,All,Static,https://gtfsrt.api.translink.com.au/GTFS/MHB_GTFS.zip,No
